Fecha,Local,Goles Local,Visitante,Goles Visitante
17/08/2018,Betis,0,Levante,3
17/08/2018,Girona,0,Valladolid,0
18/08/2018,Barcelona,3,Alaves,0
18/08/2018,Celta,1,Espanol,1
18/08/2018,Villarreal,1,Sociedad,2
19/08/2018,Eibar,1,Huesca,2
19/08/2018,Real Madrid,2,Getafe,0
19/08/2018,Vallecano,1,Sevilla,4
20/08/2018,Ath Bilbao,2,Leganes,1
20/08/2018,Valencia,1,Ath Madrid,1
24/08/2018,Getafe,2,Eibar,0
24/08/2018,Leganes,2,Sociedad,2
25/08/2018,Alaves,0,Betis,0
25/08/2018,Ath Madrid,1,Vallecano,0
25/08/2018,Valladolid,0,Barcelona,1
26/08/2018,Espanol,2,Valencia,0
26/08/2018,Girona,1,Real Madrid,4
26/08/2018,Sevilla,0,Villarreal,0
27/08/2018,Ath Bilbao,2,Huesca,2
27/08/2018,Levante,1,Celta,2
31/08/2018,Eibar,2,Sociedad,1
31/08/2018,Getafe,0,Valladolid,0
31/08/2018,Villarreal,0,Girona,1
01/09/2018,Celta,2,Ath Madrid,0
01/09/2018,Real Madrid,4,Leganes,1
02/09/2018,Alaves,2,Espanol,1
02/09/2018,Barcelona,8,Huesca,2
02/09/2018,Betis,1,Sevilla,0
02/09/2018,Levante,2,Valencia,2
14/09/2018,Huesca,0,Vallecano,1
15/09/2018,Ath Bilbao,1,Real Madrid,1
15/09/2018,Ath Madrid,1,Eibar,1
15/09/2018,Sociedad,1,Barcelona,2
15/09/2018,Valencia,0,Betis,0
16/09/2018,Espanol,1,Levante,0
16/09/2018,Leganes,0,Villarreal,1
16/09/2018,Sevilla,0,Getafe,2
16/09/2018,Valladolid,0,Alaves,1
17/09/2018,Girona,3,Celta,2
21/09/2018,Huesca,0,Sociedad,1
22/09/2018,Celta,3,Valladolid,3
22/09/2018,Eibar,1,Leganes,0
22/09/2018,Getafe,0,Ath Madrid,2
22/09/2018,Real Madrid,1,Espanol,0
22/09/2018,Vallecano,1,Alaves,5
23/09/2018,Barcelona,2,Girona,2
23/09/2018,Betis,2,Ath Bilbao,2
23/09/2018,Levante,2,Sevilla,6
23/09/2018,Villarreal,0,Valencia,0
25/09/2018,Ath Madrid,3,Huesca,0
25/09/2018,Espanol,1,Eibar,0
25/09/2018,Sociedad,2,Vallecano,2
26/09/2018,Ath Bilbao,0,Villarreal,3
26/09/2018,Leganes,2,Barcelona,1
26/09/2018,Sevilla,3,Real Madrid,0
26/09/2018,Valencia,1,Celta,1
27/09/2018,Alaves,1,Getafe,1
27/09/2018,Girona,0,Betis,1
27/09/2018,Valladolid,2,Levante,1
28/09/2018,Vallecano,2,Espanol,2
29/09/2018,Barcelona,1,Ath Bilbao,1
29/09/2018,Eibar,1,Sevilla,3
29/09/2018,Real Madrid,0,Ath Madrid,0
29/09/2018,Sociedad,0,Valencia,1
30/09/2018,Betis,1,Leganes,0
30/09/2018,Huesca,1,Girona,1
30/09/2018,Levante,2,Alaves,1
30/09/2018,Villarreal,0,Valladolid,1
01/10/2018,Celta,1,Getafe,1
05/10/2018,Ath Bilbao,1,Sociedad,3
06/10/2018,Alaves,1,Real Madrid,0
06/10/2018,Getafe,0,Levante,1
06/10/2018,Girona,2,Eibar,3
06/10/2018,Leganes,1,Vallecano,0
07/10/2018,Ath Madrid,1,Betis,0
07/10/2018,Espanol,3,Villarreal,1
07/10/2018,Sevilla,2,Celta,1
07/10/2018,Valencia,1,Barcelona,1
07/10/2018,Valladolid,1,Huesca,0
19/10/2018,Celta,0,Alaves,1
20/10/2018,Barcelona,4,Sevilla,2
20/10/2018,Real Madrid,1,Levante,2
20/10/2018,Valencia,1,Leganes,1
20/10/2018,Villarreal,1,Ath Madrid,1
21/10/2018,Betis,0,Valladolid,1
21/10/2018,Eibar,1,Ath Bilbao,1
