FECHA,TMAX,TMIN,NOMBRE
22/11/20, 26.5, 18.8,AEROPARQUE AERO
22/11/20, 30.0, 12.5,AZUL AERO
22/11/20, 29.0, 15.4,BAHIA BLANCA AERO
22/11/20, 19.0,  7.4,BARILOCHE AERO
22/11/20,, -7.8,BASE BELGRANO II
22/11/20,  3.8, -1.0,BASE CARLINI (EX JUBANY)
22/11/20,  7.0, -1.6,BASE ESPERANZA
22/11/20,  5.9, -6.2,BASE MARAMBIO
22/11/20,  1.5, -2.6,BASE ORCADAS
22/11/20,  4.4, -3.8,BASE SAN MARTIN
22/11/20,,,BENITO JUAREZ AERO
22/11/20, 29.4, 17.0,BERNARDO DE IRIGOYEN AERO
22/11/20, 31.3, 12.5,BOLIVAR AERO
22/11/20, 29.6, 19.2,BUENOS AIRES OBSERVATORIO
22/11/20, 30.6, 14.4,CAMPO DE MAYO AERO
22/11/20, 36.6, 24.1,CATAMARCA AERO
22/11/20, 33.5, 14.1,CERES AERO
22/11/20, 36.7, 21.5,CHAMICAL AERO
22/11/20, 21.0,  9.0,CHAPELCO AERO
22/11/20, 34.5, 21.0,CHEPES
22/11/20, 35.0, 17.6,CHILECITO AERO
22/11/20, 29.6, 13.2,CIPOLLETTI
22/11/20, 24.4, 12.1,COMODORO RIVADAVIA AERO
22/11/20, 30.4, 17.0,CONCORDIA AERO
22/11/20, 34.0, 13.4,CORDOBA AERO
22/11/20, 34.0, 18.9,CORDOBA OBSERVATORIO
22/11/20, 32.1, 12.5,CORONEL PRINGLES AERO
22/11/20, 30.8, 10.5,CORONEL SUAREZ AERO
22/11/20, 34.7, 18.4,CORRIENTES AERO
22/11/20, 29.2, 15.6,DOLORES AERO
22/11/20, 23.0,  8.2,EL BOLSON AERO
22/11/20, 15.9,  8.5,EL CALAFATE AERO
22/11/20, 29.8, 17.9,EL PALOMAR AERO
22/11/20, 32.7, 13.8,EL TREBOL
22/11/20, 33.1, 12.7,ESCUELA DE AVIACION MILITAR AERO
22/11/20, 19.0,  6.0,ESQUEL AERO
22/11/20, 30.5, 18.5,EZEIZA AERO
22/11/20, 34.8, 16.3,FORMOSA AERO
22/11/20, 34.0, 13.0,GENERAL PICO AERO
22/11/20, 23.0,  8.5,GOBERNADOR GREGORES AERO
22/11/20, 31.6, 16.0,GUALEGUAYCHU AERO
22/11/20, 34.7, 15.5,IGUAZU AERO
22/11/20,,,ITUZAINGO
22/11/20,,,JACHAL
22/11/20, 33.1, 18.1,JUJUY AERO
22/11/20, 30.1, 14.0,JUJUY U N
22/11/20, 32.5, 14.0,JUNIN AERO
22/11/20, 28.0, 17.0,LA PLATA AERO
22/11/20, 21.1,  7.2,LA QUIACA OBSERVATORIO
22/11/20, 38.4, 21.4,LA RIOJA AERO
22/11/20, 33.6, 12.9,LABOULAYE AERO
22/11/20, 30.3, 15.7,LAS FLORES
22/11/20, 39.0, 19.7,LAS LOMITAS
22/11/20, 26.6,  7.6,MALARGUE AERO
22/11/20, 24.7,  6.0,MAQUINCHAO
22/11/20, 29.8, 14.3,MAR DEL PLATA AERO
22/11/20, 33.0, 14.5,MARCOS JUAREZ AERO
22/11/20, 30.5, 16.5,MARIANO MORENO AERO
22/11/20, 33.0, 18.5,MENDOZA AERO
22/11/20,, 17.2,MENDOZA OBSERVATORIO
22/11/20,,,MERCEDES AERO (CTES)
22/11/20, 30.7, 16.7,MERLO AERO
22/11/20, 35.5, 17.0,METAN
22/11/20, 31.7, 16.4,MONTE CASEROS AERO
22/11/20, 30.0, 18.1,MORON AERO
22/11/20, 29.8, 11.5,NEUQUEN AERO
22/11/20, 32.9, 15.4,NUEVE DE JULIO
22/11/20,,,OBERA
22/11/20, 30.1, 11.6,OLAVARRIA AERO
22/11/20, 37.9, 19.2,ORAN AERO
22/11/20, 32.6, 16.0,PARANA AERO
22/11/20, 25.4,  7.4,PASO DE INDIOS
22/11/20, 32.0, 17.0,PASO DE LOS LIBRES AERO
22/11/20, 32.8, 12.6,PEHUAJO AERO
22/11/20,,  7.0,PERITO MORENO AERO
22/11/20, 30.8, 11.9,PIGUE AERO
22/11/20, 33.4, 15.8,PILAR OBSERVATORIO
22/11/20, 34.1, 19.0,POSADAS AERO
22/11/20, 36.9, 17.5,PRESIDENCIA ROQUE SAENZ PE�A AERO
22/11/20, 22.6,  8.4,PUERTO DESEADO AERO
22/11/20, 26.2, 10.4,PUERTO MADRYN AERO
22/11/20, 26.4, 17.0,PUNTA INDIO B.A.
22/11/20, 33.2, 14.8,RAFAELA AERO
22/11/20, 33.5, 17.8,RECONQUISTA AERO
22/11/20, 35.8, 19.4,RESISTENCIA AERO
22/11/20, 30.6, 12.4,RIO COLORADO
22/11/20, 32.5, 16.6,RIO CUARTO AERO
22/11/20, 22.0,  7.5,RIO GALLEGOS AERO
22/11/20, 19.1,  6.5,RIO GRANDE B.A.
22/11/20, 41.0, 20.0,RIVADAVIA
22/11/20, 33.5, 16.2,ROSARIO AERO
22/11/20, 30.4, 14.0,SALTA AERO
22/11/20, 31.0, 10.0,SAN ANTONIO OESTE AERO
22/11/20,,,SAN CARLOS (MZA)
22/11/20, 29.7, 16.8,SAN FERNANDO AERO
22/11/20, 35.5, 14.8,SAN JUAN AERO
22/11/20, 23.9,  8.9,SAN JULIAN AERO
22/11/20, 33.3, 17.0,SAN LUIS AERO
22/11/20, 34.0, 18.0,SAN MARTIN (MZA)
22/11/20, 32.6, 14.7,SAN RAFAEL AERO
22/11/20, 22.1,  8.9,SANTA CRUZ AERO
22/11/20, 35.4, 14.0,SANTA ROSA AERO
22/11/20, 34.8, 11.2,SANTA ROSA DE CONLARA AERO
22/11/20, 39.0, 21.6,SANTIAGO DEL ESTERO AERO
22/11/20, 32.3, 14.0,SAUCE VIEJO AERO
22/11/20, 33.8, 14.8,SUNCHALES AERO
22/11/20, 29.0, 10.5,TANDIL AERO
22/11/20, 37.8, 23.6,TARTAGAL AERO
22/11/20,,,TERMAS DE RIO HONDO AERO
22/11/20, 36.0, 16.5,TINOGASTA
22/11/20, 29.0, 13.4,TRELEW AERO
22/11/20,,,TRENQUE LAUQUEN
22/11/20, 31.5, 14.2,TRES ARROYOS
22/11/20, 37.9, 19.4,TUCUMAN AERO
22/11/20, 17.0,  6.0,USHUAIA AERO
22/11/20, 30.2,  9.6,USPALLATA
22/11/20, 33.5, 13.5,VENADO TUERTO AERO
22/11/20, 35.1, 14.3,VICTORICA
22/11/20, 29.8, 13.2,VIEDMA AERO
