fecha_de_extraccion,precio,producto,marca,supermercado,categoria,link,hora
2020-11-16,37.99,DOS HERMANOS ARROZ LARGO FINO BOLSA 500 GR,DOS HERMANOS,LA AMISTAD,ALMACEN,https://tiendalaamistad.com.ar/tienda/almacen/arroz/dos-hermanos-arroz-largo-fino-bolsa-500-gr/,03:16:32
2020-11-16,39.99,DOS HERMANOS 100 GR GALL ARROZ DULCE EXTRA FINA,DOS HERMANOS,LA AMISTAD,APTO CELIACOS,https://tiendalaamistad.com.ar/tienda/desayuno-y-merienda/galletitas/dos-hermanos-100-gr-gall-arroz-dulce-extra-fina/,03:16:31
2020-11-16,43.79,DOS HERMANOS TOSTADAS 120 GR DE ARROZ DULCE,DOS HERMANOS,LA AMISTAD,APTO CELIACOS,https://tiendalaamistad.com.ar/tienda/desayuno-y-merienda/galletitas/dos-hermanos-tostadas-120-gr-de-arroz-dulce/,03:16:29
2020-11-16,45.99,DOS HERMANOS ARROZ PARBOIL 500 GR,DOS HERMANOS,LA AMISTAD,ALMACEN,https://tiendalaamistad.com.ar/tienda/almacen/arroz/dos-hermanos-arroz-parboil-500-gr/,03:16:30
2020-11-16,48.5,DOS HERMANOS TOSTADAS 120 GR DE ARROZ SIN SAL,DOS HERMANOS,LA AMISTAD,APTO CELIACOS,https://tiendalaamistad.com.ar/tienda/bebidas-sin-alcohol/precios-cuidados/dos-hermanos-tostadas-120-gr-de-arroz-sin-sal/,03:16:29
2020-11-16,49.99,DOS HERMANOS 80 GR DISCOS DE ARROZ JAMON,DOS HERMANOS,LA AMISTAD,APTO CELIACOS,https://tiendalaamistad.com.ar/tienda/almacen/snacks/dos-hermanos-80-gr-discos-de-arroz-jamon/,03:16:31
2020-11-16,49.99,DOS HERMANOS GALLETAS DE ARROZ DULCES 100 GRS,DOS HERMANOS,LA AMISTAD,APTO CELIACOS,https://tiendalaamistad.com.ar/tienda/desayuno-y-merienda/galletitas/dos-hermanos-galletas-de-arroz-dulces-100-grs/,03:16:31
2020-11-16,49.99,DOS HERMANOS 80 GR DISCOS DE ARROZ SABOR ASADO,DOS HERMANOS,LA AMISTAD,APTO CELIACOS,https://tiendalaamistad.com.ar/tienda/almacen/snacks/dos-hermanos-80-gr-discos-de-arroz-sabor-asado/,03:16:31
2020-11-16,74.99,DOS HERMANOS ARROZ LARGO FINO BOLSA 1 KG,DOS HERMANOS,LA AMISTAD,ALMACEN,https://tiendalaamistad.com.ar/tienda/almacen/arroz/dos-hermanos-arroz-largo-fino-bolsa-1-kg/,03:16:34
2020-11-16,75.99,DOS HERMANOS ARROZ DOBLE CAROLINA 500 GR,DOS HERMANOS,LA AMISTAD,ALMACEN,https://tiendalaamistad.com.ar/tienda/almacen/arroz/dos-hermanos-arroz-doble-carolina-500-gr/,03:16:30
2020-11-16,82.99,DOS HERMANOS ARROZ INTEGRAL BOLSA 1 KG,DOS HERMANOS,LA AMISTAD,ALMACEN,https://tiendalaamistad.com.ar/tienda/almacen/arroz/dos-hermanos-arroz-integral-bolsa-1-kg/,03:16:30
2020-11-16,84.99,DOS HERMANOS ARROZ PARBOIL BOLSA 1 KG,DOS HERMANOS,LA AMISTAD,ALMACEN,https://tiendalaamistad.com.ar/tienda/almacen/arroz/dos-hermanos-arroz-parboil-bolsa-1-kg/,03:16:34
2020-11-16,92.56,DOS HERMANOS ARROZ DOBLE CAROLINA CAJA 500 GR,DOS HERMANOS,LA AMISTAD,ALMACEN,https://tiendalaamistad.com.ar/tienda/almacen/arroz/dos-hermanos-arroz-doble-carolina-caja-500-gr/,03:16:32
2020-11-16,95.99,DOS HERMANOS ARROZ PARBOIL 1 KG,DOS HERMANOS,LA AMISTAD,ALMACEN,https://tiendalaamistad.com.ar/tienda/almacen/arroz/dos-hermanos-arroz-parboil-1-kg/,03:16:28
2020-11-16,104.99,DOS HERMANOS ARROZ KOSHIHIKARI CAJA 500 GR,DOS HERMANOS,LA AMISTAD,ALMACEN,https://tiendalaamistad.com.ar/tienda/almacen/arroz/dos-hermanos-arroz-koshihikari-caja-500-gr/,03:16:34
2020-11-16,132.99,DOS HERMANOS ARROZ CARNAROLI 500 GR,DOS HERMANOS,LA AMISTAD,ALMACEN,https://tiendalaamistad.com.ar/tienda/almacen/arroz/dos-hermanos-arroz-carnaroli-500-gr/,03:16:34
2020-11-16,145.99,DOS HERMANOS ARROZ DOBLE CAROLINA BOLSA 1 KG,DOS HERMANOS,LA AMISTAD,ALMACEN,https://tiendalaamistad.com.ar/tienda/almacen/arroz/dos-hermanos-arroz-doble-carolina-bolsa-1-kg/,03:16:30
2020-11-16,149.99,DOS HERMANOS ARROZ DOBLE CAROLINA CAJA 1 KG,DOS HERMANOS,LA AMISTAD,ALMACEN,https://tiendalaamistad.com.ar/tienda/almacen/arroz/dos-hermanos-arroz-doble-carolina-caja-1-kg/,03:16:34
