fecha_de_extraccion,precio,producto,marca,supermercado,categoria,link,hora
2020-11-17,49.99,DANICA MOSTAZA DOY PACK 220 GR,DANICA,LA AMISTAD,ADEREZOS,https://tiendalaamistad.com.ar/tienda/almacen/aderezos/danica-mostaza-doy-pack-220-gr/,05:11:35
2020-11-17,55.99,DANICA SALSA GOLF DOY PACK 220 CM,DANICA,LA AMISTAD,ADEREZOS,https://tiendalaamistad.com.ar/tienda/almacen/aderezos/danica-salsa-golf-doy-pack-220-cm/,05:11:37
2020-11-17,56.99,DANICA KETCHUP DOY PACK 220 GR,DANICA,LA AMISTAD,ADEREZOS,https://tiendalaamistad.com.ar/tienda/almacen/aderezos/danica-ketchup-doy-pack-220-gr/,05:11:38
2020-11-17,65.99,DANICA MARGADAN 200 GR,DANICA,LA AMISTAD,CONGELADOS Y FRESCOS,https://tiendalaamistad.com.ar/tienda/congelados-y-frescos/lacteos/danica-margadan-200-gr/,05:11:33
2020-11-17,69.99,DANICA MARGARINA PAN 200 GR,DANICA,LA AMISTAD,CONGELADOS Y FRESCOS,https://tiendalaamistad.com.ar/tienda/congelados-y-frescos/lacteos/danica-margarina-pan-200-gr/,05:11:35
2020-11-17,69.99,DELICIA MARGARINA 200 GR,DELICIA,LA AMISTAD,CONGELADOS Y FRESCOS,https://tiendalaamistad.com.ar/tienda/congelados-y-frescos/lacteos/delicia-margarina-200-gr/,05:11:36
2020-11-17,69.99,DANICA BBQ DOY PACK 220 GR,DANICA,LA AMISTAD,ADEREZOS,https://tiendalaamistad.com.ar/tienda/almacen/aderezos/danica-bbq-doy-pack-220-gr/,05:11:37
2020-11-17,83.99,DANICA DORADA POTE 250 GR,DANICA,LA AMISTAD,CONGELADOS Y FRESCOS,https://tiendalaamistad.com.ar/tienda/congelados-y-frescos/lacteos/danica-dorada-pote-250-gr/,05:11:35
2020-11-17,86.99,DANICA SOFT LIGHT POTE 200 GR,DANICA,LA AMISTAD,CONGELADOS Y FRESCOS,https://tiendalaamistad.com.ar/tienda/congelados-y-frescos/lacteos/danica-soft-light-pote-200-gr/,05:11:33
2020-11-17,149.99,DANICA MARGADAN 500 GR,DANICA,LA AMISTAD,CONGELADOS Y FRESCOS,https://tiendalaamistad.com.ar/tienda/congelados-y-frescos/lacteos/danica-margadan-500-gr/,05:11:33
2020-11-17,159.69,DANICA MARGARINA PAN 500 GR,DANICA,LA AMISTAD,CONGELADOS Y FRESCOS,https://tiendalaamistad.com.ar/tienda/congelados-y-frescos/lacteos/danica-margarina-pan-500-gr/,05:11:34
