fecha_de_extraccion,precio,producto,marca,supermercado,categoria,link,hora
2020-12-01,7.99,TRESAL 500 GS SAL FINA BOLSA,TRESAL,LA AMISTAD,- SAL FINA,https://tiendalaamistad.com.ar/tienda/almacen/sal-especias-y-condimentos/sal-fina/tresal-500-gs-sal-fina-bolsa/,11:08:59
2020-12-01,25.99,CELUSAL SAL GRUESA 500 GR,CELUSAL,LA AMISTAD,- SAL GRUESA,https://tiendalaamistad.com.ar/tienda/almacen/sal-especias-y-condimentos/sal-gruesa/celusal-sal-gruesa-500-gr/,11:09:23
2020-12-01,32.99,CELUSAL SAL ENTREFINA 500 GR,CELUSAL,LA AMISTAD,- SAL PARRILLERA,https://tiendalaamistad.com.ar/tienda/almacen/sal-especias-y-condimentos/sal-parrillera/celusal-sal-entrefina-500-gr/,11:08:39
2020-12-01,35.0,TRESAL 500 GS SAL FINA ESTUCHE,TRESAL,LA AMISTAD,- SAL FINA,https://tiendalaamistad.com.ar/tienda/almacen/sal-especias-y-condimentos/sal-fina/tresal-500-gs-sal-fina-estuche/,11:09:00
2020-12-01,38.99,ARROZEN GALLETAS DE ARROZ CON SAL 100 GR,ARROZEN,LA AMISTAD,- ARROZ,https://tiendalaamistad.com.ar/tienda/desayuno-y-merienda/galletitas/arroz-galletitas/arrozen-galletas-de-arroz-con-sal-100-gr/,11:09:53
2020-12-01,39.99,FRISBIX DISCOS DE ARROZ CON SAL X 90 GR,GREATING,LA AMISTAD,- ARROZ,https://tiendalaamistad.com.ar/tienda/desayuno-y-merienda/galletitas/arroz-galletitas/frisbix-discos-de-arroz-con-sal-x-90-gr/,11:09:29
2020-12-01,39.99,FRISBIX DISCOS DE ARROZ SIN SAL X 90 GR,GREATING,LA AMISTAD,- ARROZ,https://tiendalaamistad.com.ar/tienda/desayuno-y-merienda/galletitas/arroz-galletitas/frisbix-discos-de-arroz-sin-sal-x-90-gr/,11:09:42
2020-12-01,39.99,RISKY DIT GALLETAS DE ARROZ SIN SAL X 100G,RISKY-DIT,LA AMISTAD,- ARROZ,https://tiendalaamistad.com.ar/tienda/desayuno-y-merienda/galletitas/arroz-galletitas/risky-dit-galletas-de-arroz-sin-sal-x-100g/,11:09:45
2020-12-01,41.49,CELUSAL SAL FINA 500 GR,CELUSAL,LA AMISTAD,- SAL FINA,https://tiendalaamistad.com.ar/tienda/almacen/sal-especias-y-condimentos/sal-fina/celusal-sal-fina-500-gr/,11:08:52
2020-12-01,41.99,LULEMUU 120 GR TOSTADAS DE ARROZ SIN SAL,LULEMUU,LA AMISTAD,- ARROZ,https://tiendalaamistad.com.ar/tienda/desayuno-y-merienda/galletitas/arroz-galletitas/lulemuu-120-gr-tostadas-de-arroz-sin-sal/,11:10:11
